Gnuplot not found, using plotters backend
test langid/construct/langid ... bench:         550 ns/iter (+/- 41)
test langid/construct/locale ... bench:         939 ns/iter (+/- 49)

test langid/to_string/langid ... bench:        1730 ns/iter (+/- 67)
test langid/to_string/locale ... bench:        1753 ns/iter (+/- 128)

test langid/compare/struct/langid ... bench:          14 ns/iter (+/- 0)
test langid/compare/struct/locale ... bench:          14 ns/iter (+/- 0)
test langid/compare/str/langid ... bench:        1942 ns/iter (+/- 114)
test langid/compare/str/locale ... bench:        1946 ns/iter (+/- 90)

test langid/canonicalize/langid ... bench:        3133 ns/iter (+/- 211)
test langid/canonicalize/locale ... bench:        4435 ns/iter (+/- 448)

Gnuplot not found, using plotters backend
test locale/construct/locale ... bench:        2071 ns/iter (+/- 136)

test locale/to_string/locale ... bench:        2677 ns/iter (+/- 156)

test locale/compare/struct/locale ... bench:          93 ns/iter (+/- 4)
test locale/compare/str/locale ... bench:        2693 ns/iter (+/- 194)

test locale/canonicalize/locale ... bench:        5291 ns/iter (+/- 416)

Gnuplot not found, using plotters backend
test language_subtag_parse ... bench:         261 ns/iter (+/- 21)

test script_subtag_parse ... bench:         103 ns/iter (+/- 6)

test region_subtag_parse ... bench:         127 ns/iter (+/- 12)

test variant_subtag_parse ... bench:         250 ns/iter (+/- 19)

